日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/03/01,24167721,16699995060,697.0,697.0,688.0,689.0,-1.00,26282
113/03/04,97210112,69868348694,714.0,725.0,711.0,725.0,+36.00,125799
113/03/05,73299411,53751887376,735.0,738.0,728.0,730.0,+5.00,69851
113/03/06,52464833,38203868985,718.0,738.0,717.0,735.0,+5.00,49897
113/03/07,80382406,61221034146,755.0,769.0,754.0,760.0,+25.00,96348
113/03/08,98069174,77295575097,795.0,796.0,772.0,784.0,+24.00,110758
113/03/11,73436931,56348050108,768.0,778.0,761.0,766.0,-18.00,107368
113/03/12,63336798,48288411581,757.0,771.0,754.0,770.0,+4.00,56154
113/03/13,43130896,33672441212,785.0,785.0,777.0,779.0,+9.00,37744
113/03/14,48964017,38196293503,779.0,785.0,770.0,784.0,+5.00,35137
113/03/15,80580846,61451780435,771.0,777.0,753.0,753.0,-31.00,95014
113/03/18,46006400,34967084535,754.0,765.0,754.0,764.0,X0.00,40073
113/03/19,32078900,24399917859,758.0,765.0,755.0,762.0,-2.00,31208
113/03/20,48788389,37117091830,764.0,769.0,752.0,758.0,-4.00,46702
113/03/21,47759094,37203673872,773.0,784.0,772.0,784.0,+26.00,48467
113/03/22,32629749,25521571701,788.0,789.0,775.0,785.0,+1.00,33054
113/03/25,21223414,16612693369,783.0,788.0,779.0,780.0,-5.00,24794
113/03/26,43103294,33847261033,788.0,792.0,776.0,782.0,+2.00,35046
113/03/27,19732209,15418346943,785.0,785.0,779.0,779.0,-3.00,21006
113/03/28,28393398,21889883699,774.0,776.0,768.0,769.0,-10.00,39848
113/03/29,20212820,15682908766,769.0,781.0,768.0,779.0,+10.00,18110
